Dia,Hora,Fator Emissão
2,13,0.2629
2,14,0.2418
2,15,0.2207
2,16,0.2026
2,17,0.188
2,18,0.1824
2,19,0.1787
3,13,0.2869
3,14,0.2669
3,15,0.245
3,16,0.2297
3,17,0.215
3,18,0.2036
3,19,0.1999
6,13,0.3324
6,14,0.2975
6,15,0.2629
6,16,0.2407
6,17,0.2139
6,18,0.1988
6,19,0.1943
7,13,0.308
7,14,0.2756
7,15,0.2498
7,16,0.2294
7,17,0.2093
7,18,0.1987
7,19,0.1955
8,13,0.3174
8,14,0.2947
8,15,0.2648
8,16,0.2391
8,17,0.2124
8,18,0.1946
8,19,0.1917
9,13,0.3109
9,14,0.2911
9,15,0.2638
9,16,0.239
9,17,0.2122
9,18,0.2045
9,19,0.2039
10,13,0.3095
10,14,0.2874
10,15,0.2646
10,16,0.2436
10,17,0.2207
10,18,0.2071
10,19,0.2019
13,13,0.2893
13,14,0.2675
13,15,0.2437
13,16,0.2257
13,17,0.2053
13,18,0.195
13,19,0.1957
14,13,0.2957
14,14,0.2781
14,15,0.253
14,16,0.2342
14,17,0.2132
14,18,0.2028
14,19,0.1994
15,13,0.3566
15,14,0.3386
15,15,0.3078
15,16,0.2791
15,17,0.2436
15,18,0.2253
15,19,0.2212
16,13,0.365
16,14,0.3272
16,15,0.2928
16,16,0.2652
16,17,0.2344
16,18,0.2147
16,19,0.2132
17,13,0.3604
17,14,0.3286
17,15,0.2899
17,16,0.245
17,17,0.2161
17,18,0.198
17,19,0.1907
20,13,0.3234
20,14,0.2932
20,15,0.2658
20,16,0.2461
20,17,0.2196
20,18,0.2062
20,19,0.2022
21,13,0.369
21,14,0.3469
21,15,0.3258
21,16,0.3025
21,17,0.2575
21,18,0.2337
21,19,0.2199
22,13,0.3631
22,14,0.3274
22,15,0.293
22,16,0.2609
22,17,0.2257
22,18,0.2072
22,19,0.1998
23,13,0.3465
23,14,0.3128
23,15,0.2756
23,16,0.2542
23,17,0.216
23,18,0.2065
23,19,0.2046
24,13,0.3224
24,14,0.3019
24,15,0.2788
24,16,0.2642
24,17,0.2474
24,18,0.2247
24,19,0.2171
27,13,0.3548
27,14,0.3287
27,15,0.2987
27,16,0.2753
27,17,0.2449
27,18,0.2254
27,19,0.2217
28,13,0.3569
28,14,0.3366
28,15,0.3114
28,16,0.2813
28,17,0.2422
28,18,0.2217
28,19,0.2116
29,13,0.4176
29,14,0.3817
29,15,0.3483
29,16,0.3135
29,17,0.2709
29,18,0.2474
29,19,0.2461
31,13,0.5191
31,14,0.496
31,15,0.4607
31,16,0.4024
31,17,0.3375
31,18,0.2913
31,19,0.2851
