ID Computador,Valor Mínimo (Watts),Valor Máximo (Watts),Valor 1 (Watts),Valor 2 (Watts),Valor 3 (Watts),Consumo em kWh(Por minuto),Consumo em kWh(12 minutos),Consumo em kWh(100 minutos)
1,41.5,85.0,78.4,80.8,71.8,0.0014167,0.017,0.14167
2,42.8,87.1,50.6,81.1,82.0,0.0016667,0.02,0.16667
3,64.0,107.5,102.1,101.8,100.2,0.0016667,0.02,0.16667
4,54.4,107.7,100.1,102.7,98.8,0.00175,0.021,0.175
5,40.4,85.8,83.7,73.9,55.2,0.0011667,0.014,0.11667
6,54.2,100.3,94.9,93.9,93.8,0.0016667,0.02,0.16667
7,50.7,95.1,92.9,86.5,90.3,0.0014167,0.017,0.14167
8,42.1,92.2,84.2,89.0,88.1,0.00125,0.015,0.125
9,63.5,109.7,103.6,97.0,104.5,0.0015,0.018,0.15
10,60.4,106.2,103.5,104.9,92.1,0.002,0.024,0.2
11,40.9,84.7,80.9,81.1,81.8,0.0014167,0.017,0.14167
12,41.4,86.1,81.7,81.4,75.8,0.00125,0.015,0.125
13,56.4,96.71,93.4,90.9,92.9,0.0011667,0.014,0.11667
14,40.3,83.3,77.1,76.7,74.3,0.00125,0.015,0.125
15,46.1,93.9,88.5,82.1,79.4,0.0015833,0.019,0.15833
16,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
17,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
18,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
19,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
20,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
21,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
22,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
23,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
24,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
25,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
26,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
27,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
28,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
29,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
30,49.3,94.8,87.7,88.3,85.4,0.0015,0.018,0.15
